,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,LastPrice_imputed,Year
0,HDFCBANK,EQ,15-06,1151.85,1155.0,1170.9,1153.2,1168.0,1169.55,1162.38,761456,885102790.95,18995,473129,62.13,False,2016
1,HDFCBANK,EQ,16-06,1169.55,1166.55,1168.85,1155.35,1160.75,1162.15,1162.8,1181942,1374366879.35,29029,735044,62.19,False,2016
2,HDFCBANK,EQ,17-06,1162.15,1167.0,1178.0,1165.55,1171.1,1170.0,1172.49,940413,1102623949.1,16726,560769,59.63,False,2016
3,HDFCBANK,EQ,20-06,1170.0,1159.0,1179.25,1158.8,1170.0,1172.05,1172.16,685691,803741569.3,21802,357602,52.15,False,2016
4,HDFCBANK,EQ,21-06,1172.05,1175.0,1175.45,1161.2,1164.3,1166.65,1166.05,667742,778619035.6,12721,356707,53.42,False,2016
5,HDFCBANK,EQ,22-06,1166.65,1166.0,1175.0,1166.0,1169.1,1171.5,1171.63,950960,1114176752.65,31558,634707,66.74,False,2016
6,HDFCBANK,EQ,23-06,1171.5,1169.8,1191.85,1167.5,1191.5,1190.1,1184.36,981683,1162668048.2,18772,577439,58.82,False,2016
7,HDFCBANK,EQ,24-06,1190.1,1159.85,1171.9,1147.0,1161.0,1161.9,1154.94,2793491,3226301497.9,53496,1700254,60.86,False,2016
8,HDFCBANK,EQ,27-06,1161.9,1162.0,1169.0,1153.05,1160.0,1159.95,1162.11,1040947,1209693980.0,26122,618389,59.41,False,2016
9,HDFCBANK,EQ,28-06,1159.95,1161.25,1173.1,1150.0,1169.3,1166.95,1168.27,1008745,1178482693.4,28328,561927,55.71,False,2016
10,HDFCBANK,EQ,29-06,1166.95,1165.0,1169.5,1159.7,1168.0,1168.3,1165.87,1355167,1579948212.3,39547,947929,69.95,False,2016
11,HDFCBANK,EQ,30-06,1168.3,1171.0,1180.0,1162.15,1173.6,1176.45,1172.0,4069723,4769717489.65,52900,3251396,79.89,False,2016
12,HDFCBANK,IL,30-06,1377.1,1361.5,1366.5,1361.5,1364.85,1364.85,1364.83,186000,253859000.0,3,186000,100.0,True,2016
13,HDFCBANK,EQ,01-07,1176.45,1180.0,1185.0,1171.8,1174.95,1174.5,1180.29,1076219,1270255524.85,34548,656180,60.97,False,2016
14,HDFCBANK,EQ,04-07,1174.5,1178.2,1179.5,1171.4,1173.85,1172.8,1175.22,1812463,2130050821.55,37185,1408369,77.7,False,2016
15,HDFCBANK,EQ,05-07,1172.8,1172.8,1174.3,1162.0,1168.75,1165.6,1165.93,534082,622703221.2,20065,284398,53.25,False,2016
16,HDFCBANK,IL,05-07,1364.85,1368.0,1368.0,1368.0,1368.0,1368.0,1368.0,621100,849664800.0,38,621100,100.0,True,2016
17,HDFCBANK,EQ,07-07,1165.6,1167.9,1188.75,1160.9,1184.7,1185.65,1179.86,1208154,1425449236.0,15087,778136,64.41,False,2016
